## Redux Move Modifications

### Absorb

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 20 | 35 [!] |

### Acid

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 20 | 35 [!] |

### Acid Armour

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 40 | 20 |

### Air Cutter

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 55 | 60 |
| PP | 25 | 15 [L:A] |

### Air Slash

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 15 | 10 [L:A] |

### Ally Switch

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Priority | +1 | +2 |

### Aqua Tail

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 90 | 100 [!] |
| Accuracy | 90 | 85 [!] |

### Arm Thrust

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 15 | 20 [!] |

### Assurance

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 50 | 60 |

### Astonish 

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 30 | 35 [!] |

### Aura Sphere

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 80 | 90 [!] |

### Aurora Beam

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 65 | 75 [!] |

### Barrier

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 30 | 20 |

### Blaze Kick

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Accuracy | 90 | 100 [!] |

### Blizzard

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 120 | 110 |

### Bite

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 25 | 20 [L:A] |

### BubbleBeam

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 65 | 70 [!] |

### Bulk Up

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 20 | 10 [L:A] |

### Bullet Punch

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 30 | 20 [L:A] |

### Calm Mind

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 20 | 10 [L:A] |

### Charge Beam

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 10 | 15 [L:A] |

### Chatter

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 70 | 90 [!] |
| PP | 20 | 10 [!] |

### Confusion

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 25 | 20 [L:A] |

### Covet

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 40 | 20 [!] |
| Type | Normal | Fairy [!] |

### Crabhammer

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Effect | High Critical Ratio | 10% Def -1 [!] |

### Cross Poison

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 70 | 90 [!] |
| PP | 20 | 15 [L:A] |

### Crunch

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 15 | 10 [L:A] |

### Cut

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Effect | &nbsp | High Critical Ratio [!] |
| Type | Normal | Grass [!] |

### Draco Meteor 

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 140 | 130 |

### Dark Pulse

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 15 | 10 [L:A] |
| Accuracy | 100 | Never Miss [L:A] |

### Dark Void

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Accuracy | 50 | 90 [L:A] |

### Dive

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 80 | 100 [!] |

### Dragon Breath

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 60 | 70 [!] |

### Dragon Claw

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 80 | 85 [!] |
| PP | 15 | 10 [L:A] |
| Effect | &nbsp | High Critical Ratio [L:A] |

### Dragon Pulse

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 85 | 90 [!] |
| Accuracy | 100 | Never Miss [L:A] |

### Dragon Rush

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Accuracy | 75 | 80 [!] |

### Dragon Tail

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Accuracy | 90 | 95 [!] |

### Draining Kiss

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 50 | 70 [!] |

### Echoed Voice

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 40 | 50 [!] |

### Energy Ball

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 80 | 90 [!] |

### Extrasensory

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 20 | 15 [L:A] |

### False Swipe

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 40 | 30 [L:A] |

### Fire Blast

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 120 | 110 |

### Fire Pledge

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 50 | 75 [!] |

### Fire Punch 

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 15 | 10 [L:A] |

### Flame Charge

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 50 | 60 [!] |

### Flame Wheel

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 60 | 75 [!] |
| PP | 25 | 20 [L:A] |

### Flamethrower

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 15 | 10 [L:A] |

### Flash Cannon

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 80 | 90 [!] |

### Fly

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 95 | 80 [!] |
| Accuracy | 95 | 100 [!] |

### Focus Energy

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 30 | 20 [L:A] |

### Follow Me

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Priority | +3 | +2 |

### Frost Breath

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 60 | 50** [!] |

### Fury Cutter

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 20 | 30 [!] |

### Future Sight

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 100 | 120 |

### Gear Grind

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 50 | 65 [!] |
| Accuracy | 85 | 95 [!] |
| PP | 15 | 10 [!] |

### Giga Drain

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 75 | 80 [!] |

### Glaciate

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 65 | 85 [!] |
| Accuracy | 95 | 100 [!] |

### Glare

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Accuracy | 90 | 100 |

### Grass Pledge

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 50 | 75 [!] |

### Grass Whistle

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Accuracy | 55 | 65 [!] |

### Growth

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 40 | 20 |

### Gust

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 35 | 25 [L:A] |

### Gunk Shot

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Accuracy | 70 | 80 |

### Head Smash

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Accuracy | 80 | 85 [!] |

### Heart Stamp

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 60 | 75 [!] |
| PP | 25 | 15 [!] |

### Heat Wave

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 95 | 100 [!] |

### Hex

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 50 | 65 |
| PP | 10 | 15 [L:A] |

### Howl*

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Effect | Raises User and Allies Attack | Raises only Users Attack |

### Hurricane

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 120 | 110 |
| Accuracy | 70 | 80 [!] |
| PP | 10 | 5 [L:A] |

### Hydro Pump

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 120 | 110 |

### Ice Beam

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 95 | 90 |

### Ice Punch

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 15 | 10 [L:A] |

### Ice Shard

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| PP | 30 | 20 [L:A] |

### Incinerate

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 50 | 60 |

### Inferno

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Accuracy | 50 | 65 [!] |

### Judgement

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 100 | 150 [!] |

### Knock Off

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 20 | 65 |

### Leaf Storm

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 140 | 130 |

### Leaf Tornado

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 65 | 70 [!] |
| Accuracy | 90 | 100 [!] |
| Effect | 50% Accuracy -1 | 30% Accuracy -1 [!] |

### Leech Life

| &nbsp | Old | New |
|: --- :|: --- :|: --- :|
| Power | 20 | 80 |
| PP | 15 | 10 |

